data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1994-07-01,1,Brasil,2,%,6.84,1,Brasil,199407,julho 1994,63,IPCA - Variação mensal,1994-07-01
1994-08-01,1,Brasil,2,%,1.86,1,Brasil,199408,agosto 1994,63,IPCA - Variação mensal,1994-08-01
1994-09-01,1,Brasil,2,%,1.53,1,Brasil,199409,setembro 1994,63,IPCA - Variação mensal,1994-09-01
1994-10-01,1,Brasil,2,%,2.62,1,Brasil,199410,outubro 1994,63,IPCA - Variação mensal,1994-10-01
1994-11-01,1,Brasil,2,%,2.81,1,Brasil,199411,novembro 1994,63,IPCA - Variação mensal,1994-11-01
1994-12-01,1,Brasil,2,%,1.71,1,Brasil,199412,dezembro 1994,63,IPCA - Variação mensal,1994-12-01
1995-01-01,1,Brasil,2,%,1.7,1,Brasil,199501,janeiro 1995,63,IPCA - Variação mensal,1995-01-01
1995-02-01,1,Brasil,2,%,1.02,1,Brasil,199502,fevereiro 1995,63,IPCA - Variação mensal,1995-02-01
1995-03-01,1,Brasil,2,%,1.55,1,Brasil,199503,março 1995,63,IPCA - Variação mensal,1995-03-01
1995-04-01,1,Brasil,2,%,2.43,1,Brasil,199504,abril 1995,63,IPCA - Variação mensal,1995-04-01
1995-05-01,1,Brasil,2,%,2.67,1,Brasil,199505,maio 1995,63,IPCA - Variação mensal,1995-05-01
1995-06-01,1,Brasil,2,%,2.26,1,Brasil,199506,junho 1995,63,IPCA - Variação mensal,1995-06-01
1995-07-01,1,Brasil,2,%,2.36,1,Brasil,199507,julho 1995,63,IPCA - Variação mensal,1995-07-01
1995-08-01,1,Brasil,2,%,0.99,1,Brasil,199508,agosto 1995,63,IPCA - Variação mensal,1995-08-01
1995-09-01,1,Brasil,2,%,0.99,1,Brasil,199509,setembro 1995,63,IPCA - Variação mensal,1995-09-01
1995-10-01,1,Brasil,2,%,1.41,1,Brasil,199510,outubro 1995,63,IPCA - Variação mensal,1995-10-01
1995-11-01,1,Brasil,2,%,1.47,1,Brasil,199511,novembro 1995,63,IPCA - Variação mensal,1995-11-01
1995-12-01,1,Brasil,2,%,1.56,1,Brasil,199512,dezembro 1995,63,IPCA - Variação mensal,1995-12-01
1996-01-01,1,Brasil,2,%,1.34,1,Brasil,199601,janeiro 1996,63,IPCA - Variação mensal,1996-01-01
1996-02-01,1,Brasil,2,%,1.03,1,Brasil,199602,fevereiro 1996,63,IPCA - Variação mensal,1996-02-01
1996-03-01,1,Brasil,2,%,0.35,1,Brasil,199603,março 1996,63,IPCA - Variação mensal,1996-03-01
1996-04-01,1,Brasil,2,%,1.26,1,Brasil,199604,abril 1996,63,IPCA - Variação mensal,1996-04-01
1996-05-01,1,Brasil,2,%,1.22,1,Brasil,199605,maio 1996,63,IPCA - Variação mensal,1996-05-01
1996-06-01,1,Brasil,2,%,1.19,1,Brasil,199606,junho 1996,63,IPCA - Variação mensal,1996-06-01
1996-07-01,1,Brasil,2,%,1.11,1,Brasil,199607,julho 1996,63,IPCA - Variação mensal,1996-07-01
1996-08-01,1,Brasil,2,%,0.44,1,Brasil,199608,agosto 1996,63,IPCA - Variação mensal,1996-08-01
1996-09-01,1,Brasil,2,%,0.15,1,Brasil,199609,setembro 1996,63,IPCA - Variação mensal,1996-09-01
1996-10-01,1,Brasil,2,%,0.3,1,Brasil,199610,outubro 1996,63,IPCA - Variação mensal,1996-10-01
1996-11-01,1,Brasil,2,%,0.32,1,Brasil,199611,novembro 1996,63,IPCA - Variação mensal,1996-11-01
1996-12-01,1,Brasil,2,%,0.47,1,Brasil,199612,dezembro 1996,63,IPCA - Variação mensal,1996-12-01
1997-01-01,1,Brasil,2,%,1.18,1,Brasil,199701,janeiro 1997,63,IPCA - Variação mensal,1997-01-01
1997-02-01,1,Brasil,2,%,0.5,1,Brasil,199702,fevereiro 1997,63,IPCA - Variação mensal,1997-02-01
1997-03-01,1,Brasil,2,%,0.51,1,Brasil,199703,março 1997,63,IPCA - Variação mensal,1997-03-01
1997-04-01,1,Brasil,2,%,0.88,1,Brasil,199704,abril 1997,63,IPCA - Variação mensal,1997-04-01
1997-05-01,1,Brasil,2,%,0.41,1,Brasil,199705,maio 1997,63,IPCA - Variação mensal,1997-05-01
1997-06-01,1,Brasil,2,%,0.54,1,Brasil,199706,junho 1997,63,IPCA - Variação mensal,1997-06-01
1997-07-01,1,Brasil,2,%,0.22,1,Brasil,199707,julho 1997,63,IPCA - Variação mensal,1997-07-01
1997-08-01,1,Brasil,2,%,-0.02,1,Brasil,199708,agosto 1997,63,IPCA - Variação mensal,1997-08-01
1997-09-01,1,Brasil,2,%,0.06,1,Brasil,199709,setembro 1997,63,IPCA - Variação mensal,1997-09-01
1997-10-01,1,Brasil,2,%,0.23,1,Brasil,199710,outubro 1997,63,IPCA - Variação mensal,1997-10-01
1997-11-01,1,Brasil,2,%,0.17,1,Brasil,199711,novembro 1997,63,IPCA - Variação mensal,1997-11-01
1997-12-01,1,Brasil,2,%,0.43,1,Brasil,199712,dezembro 1997,63,IPCA - Variação mensal,1997-12-01
1998-01-01,1,Brasil,2,%,0.71,1,Brasil,199801,janeiro 1998,63,IPCA - Variação mensal,1998-01-01
1998-02-01,1,Brasil,2,%,0.46,1,Brasil,199802,fevereiro 1998,63,IPCA - Variação mensal,1998-02-01
1998-03-01,1,Brasil,2,%,0.34,1,Brasil,199803,março 1998,63,IPCA - Variação mensal,1998-03-01
1998-04-01,1,Brasil,2,%,0.24,1,Brasil,199804,abril 1998,63,IPCA - Variação mensal,1998-04-01
1998-05-01,1,Brasil,2,%,0.5,1,Brasil,199805,maio 1998,63,IPCA - Variação mensal,1998-05-01
1998-06-01,1,Brasil,2,%,0.02,1,Brasil,199806,junho 1998,63,IPCA - Variação mensal,1998-06-01
1998-07-01,1,Brasil,2,%,-0.12,1,Brasil,199807,julho 1998,63,IPCA - Variação mensal,1998-07-01
